Name,URL,Description,Process,Variety,all_combined,exlc_name_combined
Burundi Commune Mutambu,https://www.sweetmarias.com/burundi-commune-mutambu-6644.html,"Such a versatile Burundi, a neutral sweetness is accented by complex baking spices, creamed honey, loose leaf black tea and bittering cocoa when roasted dark. City to Full City+. Good for espresso.",Wet Washed,Bourbon,"Burundi Commune Mutambu, Such a versatile Burundi, a neutral sweetness is accented by complex baking spices, creamed honey, loose leaf black tea and bittering cocoa when roasted dark. City to Full City+. Good for espresso., Wet Washed, Bourbon","Such a versatile Burundi, a neutral sweetness is accented by complex baking spices, creamed honey, loose leaf black tea and bittering cocoa when roasted dark. City to Full City+. Good for espresso., Wet Washed, Bourbon"
Burundi Dry Process Gaterama Agahore,https://www.sweetmarias.com/burundi-dry-process-gaterama-agahore-6751.html,"Unapologetic ""dry process"" flavor that should satisfy those longing for berry-toned naturals ala ""Harrar"". Blackberry reduction, maple syrup, rustic dried fruit and earthy accents. City+ to Full City+.",Dry Natural,Bourbon,"Burundi Dry Process Gaterama Agahore, Unapologetic ""dry process"" flavor that should satisfy those longing for berry-toned naturals ala ""Harrar"". Blackberry reduction, maple syrup, rustic dried fruit and earthy accents. City+ to Full City+., Dry Natural, Bourbon","Unapologetic ""dry process"" flavor that should satisfy those longing for berry-toned naturals ala ""Harrar"". Blackberry reduction, maple syrup, rustic dried fruit and earthy accents. City+ to Full City+., Dry Natural, Bourbon"
Burundi Dry Process Kibingo,https://www.sweetmarias.com/burundi-dry-process-kibingo-6749.html,"Cooked fruit and wheat flavors that bring to mind raspberry pie, hints of barley malt syrup and dried prune. Soft acidity and bittersweet at Full City, a note of dark cacao bar with crisped rice. City+ to Full City+.",Dry Natural,Bourbon,"Burundi Dry Process Kibingo, Cooked fruit and wheat flavors that bring to mind raspberry pie, hints of barley malt syrup and dried prune. Soft acidity and bittersweet at Full City, a note of dark cacao bar with crisped rice. City+ to Full City+., Dry Natural, Bourbon","Cooked fruit and wheat flavors that bring to mind raspberry pie, hints of barley malt syrup and dried prune. Soft acidity and bittersweet at Full City, a note of dark cacao bar with crisped rice. City+ to Full City+., Dry Natural, Bourbon"
Burundi Honey Process Gahahe,https://www.sweetmarias.com/burundi-honey-process-gahahe-6747.html,"Sweet, clean cup character like wet process Burundi, burned sugar sweetness, bergamot orange aroma, old fashioned spice cookies, and an acidic impression like strong black tea. City to Full City. Good for espresso.",Honey,Bourbon,"Burundi Honey Process Gahahe, Sweet, clean cup character like wet process Burundi, burned sugar sweetness, bergamot orange aroma, old fashioned spice cookies, and an acidic impression like strong black tea. City to Full City. Good for espresso., Honey, Bourbon","Sweet, clean cup character like wet process Burundi, burned sugar sweetness, bergamot orange aroma, old fashioned spice cookies, and an acidic impression like strong black tea. City to Full City. Good for espresso., Honey, Bourbon"
Burundi Kabarore Commune Yandaro,https://www.sweetmarias.com/burundi-kabarore-commune-yandaro-6746.html,"Lighter roasts draw out potent aromatic, like whole clove and all spice, unrefined molasses sweetness, cola, and a brisk flavor of black tea with lemon. City to Full City+. Good for espresso.",Wet Washed,Bourbon,"Burundi Kabarore Commune Yandaro, Lighter roasts draw out potent aromatic, like whole clove and all spice, unrefined molasses sweetness, cola, and a brisk flavor of black tea with lemon. City to Full City+. Good for espresso., Wet Washed, Bourbon","Lighter roasts draw out potent aromatic, like whole clove and all spice, unrefined molasses sweetness, cola, and a brisk flavor of black tea with lemon. City to Full City+. Good for espresso., Wet Washed, Bourbon"
Burundi Kayanza Dusangirijambo,https://www.sweetmarias.com/burundi-kayanza-dusangirijambo-6638.html,"Balanced sweet and bitter flavors give way to baking spice and accents of crisp apple, raisin, Darjeeling tea, and moderate lemon-like acidity. Darker roasts have a chocolate-cherry flavor note. City to Full City.",Wet Washed,Bourbon,"Burundi Kayanza Dusangirijambo, Balanced sweet and bitter flavors give way to baking spice and accents of crisp apple, raisin, Darjeeling tea, and moderate lemon-like acidity. Darker roasts have a chocolate-cherry flavor note. City to Full City., Wet Washed, Bourbon","Balanced sweet and bitter flavors give way to baking spice and accents of crisp apple, raisin, Darjeeling tea, and moderate lemon-like acidity. Darker roasts have a chocolate-cherry flavor note. City to Full City., Wet Washed, Bourbon"
Burundi Kayanza Gahahe,https://www.sweetmarias.com/burundi-kayanza-gahahe-6745.html,"The sweetness has honey and bran muffin, cooling to complex Darjeeling tea, all spice, and apple notes. Light and spiced, or developed and chocolatey. You decide! City to Full City. Good for espresso.",Wet Washed,Bourbon,"Burundi Kayanza Gahahe, The sweetness has honey and bran muffin, cooling to complex Darjeeling tea, all spice, and apple notes. Light and spiced, or developed and chocolatey. You decide! City to Full City. Good for espresso., Wet Washed, Bourbon","The sweetness has honey and bran muffin, cooling to complex Darjeeling tea, all spice, and apple notes. Light and spiced, or developed and chocolatey. You decide! City to Full City. Good for espresso., Wet Washed, Bourbon"
Burundi Kazoza N'Ikawa Coop,https://www.sweetmarias.com/burundi-kazoza-nikawa-station-6639.html,"A stunning cup when roasted to City/City+, ""light and bright"" cup characteristics for Burundi, sugarcane juice sweetness, raisin and allspice notes, acidity like sweet lime and cinnamon tea spiced aroma. City to Full City.",Wet Washed,Bourbon,"Burundi Kazoza N'Ikawa Coop, A stunning cup when roasted to City/City+, ""light and bright"" cup characteristics for Burundi, sugarcane juice sweetness, raisin and allspice notes, acidity like sweet lime and cinnamon tea spiced aroma. City to Full City., Wet Washed, Bourbon","A stunning cup when roasted to City/City+, ""light and bright"" cup characteristics for Burundi, sugarcane juice sweetness, raisin and allspice notes, acidity like sweet lime and cinnamon tea spiced aroma. City to Full City., Wet Washed, Bourbon"
Burundi Kazoza N'Ikawa Coop Lot 2,https://www.sweetmarias.com/burundi-kazoza-nikawa-coop-lot-2-6640.html,"Such a sweet coffee across the recommended roast spectrum, sugarcane juice, a sachet of clove powder and all spice, black currant tea, and an aromatic note of orange on the nose. City to Full City.",Wet Washed,Bourbon,"Burundi Kazoza N'Ikawa Coop Lot 2, Such a sweet coffee across the recommended roast spectrum, sugarcane juice, a sachet of clove powder and all spice, black currant tea, and an aromatic note of orange on the nose. City to Full City., Wet Washed, Bourbon","Such a sweet coffee across the recommended roast spectrum, sugarcane juice, a sachet of clove powder and all spice, black currant tea, and an aromatic note of orange on the nose. City to Full City., Wet Washed, Bourbon"
Burundi Kiganda Murambi,https://www.sweetmarias.com/burundi-kiganda-murambi-6750.html,"Light roasts are clean and balanced, complex top notes as the coffee cools, unrefined sugar, black currant, dried persimmon and Earl Grey aroma. Darker roast are delicious too! City to Full City. Good for espresso.",Wet Washed,Bourbon,"Burundi Kiganda Murambi, Light roasts are clean and balanced, complex top notes as the coffee cools, unrefined sugar, black currant, dried persimmon and Earl Grey aroma. Darker roast are delicious too! City to Full City. Good for espresso., Wet Washed, Bourbon","Light roasts are clean and balanced, complex top notes as the coffee cools, unrefined sugar, black currant, dried persimmon and Earl Grey aroma. Darker roast are delicious too! City to Full City. Good for espresso., Wet Washed, Bourbon"
Burundi Monge Murambi Hill,https://www.sweetmarias.com/burundi-monge-murambi-hill-6643.html,"Honey and raw sugar, hints of apple, clove, all-spice, fragrant lemon grass aroma and orange spice black tea. Medium roasts develop a dark chocolate, berry note. City to Full City. Good for espresso.",Wet Washed,Bourbon,"Burundi Monge Murambi Hill, Honey and raw sugar, hints of apple, clove, all-spice, fragrant lemon grass aroma and orange spice black tea. Medium roasts develop a dark chocolate, berry note. City to Full City. Good for espresso., Wet Washed, Bourbon","Honey and raw sugar, hints of apple, clove, all-spice, fragrant lemon grass aroma and orange spice black tea. Medium roasts develop a dark chocolate, berry note. City to Full City. Good for espresso., Wet Washed, Bourbon"
Burundi Mutambu Migoti Hill,https://www.sweetmarias.com/burundi-mutambu-migoti-hill-6642.html,"Elegant as it cools, dark sweetness is the focus, with hints of baking spice, raisin, aromatic black tea, and moderate acidity that's toned down in darker roasts. City to Full City+. Good for espresso. ",Wet Washed,Bourbon,"Burundi Mutambu Migoti Hill, Elegant as it cools, dark sweetness is the focus, with hints of baking spice, raisin, aromatic black tea, and moderate acidity that's toned down in darker roasts. City to Full City+. Good for espresso. , Wet Washed, Bourbon","Elegant as it cools, dark sweetness is the focus, with hints of baking spice, raisin, aromatic black tea, and moderate acidity that's toned down in darker roasts. City to Full City+. Good for espresso. , Wet Washed, Bourbon"
Burundi Rwiri Yagikawa,https://www.sweetmarias.com/burundi-rwiri-yagikawa-6641.html,"A medium-bodied coffee with silky mouthfeel, turbinado sweetness, opening up to hints of chamomile and roasted barley teas, clove powder, and a subtle whiff of orange in the nose. City to Full City.",Wet Washed,Bourbon,"Burundi Rwiri Yagikawa, A medium-bodied coffee with silky mouthfeel, turbinado sweetness, opening up to hints of chamomile and roasted barley teas, clove powder, and a subtle whiff of orange in the nose. City to Full City., Wet Washed, Bourbon","A medium-bodied coffee with silky mouthfeel, turbinado sweetness, opening up to hints of chamomile and roasted barley teas, clove powder, and a subtle whiff of orange in the nose. City to Full City., Wet Washed, Bourbon"
